Series Title,Release Year,Runtime,Genre,Rating,Cast,Synopsis
Wednesday,(2022– ),45 min,"Comedy, Crime, Fantasy",8.2,"Jenna Ortega, Hunter Doohan, Percy Hynes White, Emma Myers","Follows Wednesday Addams' years as a student, when she attempts to master her emerging psychic ability, thwart and solve the mystery that embroiled her parents."
Yellowstone,(2018– ),60 min,"Drama, Western",8.7,"Kevin Costner, Luke Grimes, Kelly Reilly, Wes Bentley",A ranching family in Montana faces off against others encroaching on their land.
The White Lotus,(2021–2023),60 min,"Comedy, Drama",7.9,"Jennifer Coolidge, Jon Gries, F. Murray Abraham, Adam DiMarco","Set in a tropical resort, it follows the exploits of various guests and employees over the span of a week."
1923,(2022–2023),60 min,"Drama, Western",8.6,"Harrison Ford, Helen Mirren, Brandon Sklenar, Darren Mann","The Duttons face a new set of challenges in the early 20th century, including the rise of Western expansion, Prohibition and the Great Depression."
Jack Ryan,(2018– ),60 min,"Action, Drama, Thriller",8.0,"John Krasinski, Wendell Pierce, Michael Kelly, John Hoogenakker","Up-and-coming CIA analyst, Jack Ryan, is thrust into dangerous field assignments."
Tulsa King,(2022– ),40 min,"Crime, Drama",8.3,"Sylvester Stallone, Andrea Savage, Martin Starr, Jay Will","Following his release from prison, mafia capo Dwight ""The General"" Manfredi is exiled to Tulsa, Oklahoma, where he builds a new criminal empire with a group of unlikely characters."
Alice in Borderland,(2020– ),50 min,"Action, Drama, Mystery",7.7,"Kento Yamazaki, Tao Tsuchiya, Nijirô Murakami, Eleanor Noble",A group of bored delinquents are transported to a parallel dimension as part of a survival game.
The Recruit,(2022– ),55 min,"Action, Adventure, Crime",7.5,"Noah Centineo, Laura Haddock, Aarti Mann, Colton Dunn",Follows a lawyer at the CIA who gets entangled in dangerous international power politics when a former asset threatens to expose the nature of her long-term relationship with the agency.
Willow,(2022– ),****,"Action, Adventure, Drama",5.3,"Ruby Cruz, Ellie Bamber, Erin Kellyman, Tony Revolori","20 years after vanquishing the wicked queen Bavmorda, the sorcerer Willow Ufgood leads a group of misfits on a dangerous rescue mission into the unknown."
The Last of Us,(2023– ),****,"Action, Adventure, Drama",****,"Pedro Pascal, Bella Ramsey, Gabriel Luna, Merle Dandridge","Joel and Ellie, a pair connected through the harshness of the world they live in, are forced to endure brutal circumstances and ruthless killers on a trek across post-pandemic America."
Ginny & Georgia,(2021– ),****,"Comedy, Drama",7.4,"Brianne Howey, Antonia Gentry, Diesel La Torraca, Felix Mallard","Ginny Miller, an angsty fifteen-year-old, often feels more mature than her thirty-year-old mother, the irresistible and dynamic Georgia Miller."
The Walking Dead,(2010–2022),44 min,"Drama, Horror, Thriller",8.1,"Andrew Lincoln, Norman Reedus, Melissa McBride, Lauren Cohan",Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.
Game of Thrones,(2011–2019),57 min,"Action, Adventure, Drama",9.2,"Emilia Clarke, Peter Dinklage, Kit Harington, Lena Headey","Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia."
Emily in Paris,(2020– ),30 min,"Comedy, Drama, Romance",6.9,"Lily Collins, Philippine Leroy-Beaulieu, Ashley Park, Samuel Arnold",A young American woman from the Midwest is hired by a marketing firm in Paris to provide them with an American perspective on things.
Slow Horses,(2022– ),****,"Drama, Thriller",7.9,"Gary Oldman, Jack Lowden, Kristin Scott Thomas, Saskia Reeves",Follows a team of British intelligence agents who serve as a dumping ground department of MI5 due to their career-ending mistakes.
His Dark Materials,(2019–2022),60 min,"Adventure, Drama, Family",7.8,"Dafne Keen, Kit Connor, Ruth Wilson, Amir Wilson",A young girl is destined to liberate her world from the grip of the Magisterium which represses people's ties to magic and their animal spirits known as daemons.
Will Trent,(2023– ),****,"Crime, Drama",7.7,"Deion Smith, Ramón Rodríguez, Erika Christensen, Iantha Richardson","Special Agent Will Trent was abandoned at birth and endured a harsh coming-of-age in Atlanta's overwhelmed foster care system. Determined to make sure no one feels as he did, he now has the highest clearance rate."
Andor,(2022– ),40 min,"Action, Adventure, Drama",8.4,"Diego Luna, Kyle Soller, Stellan Skarsgård, Genevieve O'Reilly","Prequel series to Star Wars' 'Rogue One'. In an era filled with danger, deception and intrigue, Cassian will embark on the path that is destined to turn him into a Rebel hero."
Anne Rice's Mayfair Witches,(2023– ),****,"Fantasy, Horror",6.8,"Alexandra Daddario, Jack Huston, Tongayi Chirisa, Beth Grant",Follows a neurosurgeon who discovers she is the unlikely heir to a family of witches. She must contend with a sinister presence that has haunted her family for generations.
1899,(2022),60 min,"Drama, Mystery",7.4,"Emily Beecham, Aneurin Barnard, Andreas Pietschmann, Miguel Bernardeau",Multinational immigrants traveling from the old continent to the new encounter a nightmarish riddle aboard a second ship adrift on the open sea.